UnitPrice,ShippingCost,Discount,WarehouseLocation_Amsterdam,ShipmentProvider_DHL,ShipmentProvider_Royal Mail,ShipmentProvider_UPS,PaymentMethod_Bank Transfer,PaymentMethod_Credit Card,Category_Apparel,Category_Furniture,Category_Accessories,Year_2024,Category_Stationery,ShipmentProvider_FedEx,Quantity
1.71,10.79,0.47,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38
41.25,9.51,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
29.11,23.03,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
76.68,11.08,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14
-68.11,17.48,1.501433043,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-30
70.16,13.98,0.48,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47
85.74,12.92,0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25
95.65,6.48,0.04,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
98.19,12.56,0.05,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19
98.17,7.71,0.16,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40
87.56,9.83,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49
59.51,12.0,0.39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41
25.59,15.58,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,41
2.09,19.22,0.47,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
35.88,14.85,0.06,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29
82.58,27.02,0.41,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16
