Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Blue Pen,2022,Q2,Jun,Tue,8,26.49,Germany,0.21,paypall,14.34,Apparel,FedEx,Berlin,44,22.57
Desk Lamp,2020,Q1,Mar,Fri,10,-51.81,Spain,1.199027138,Bank Transfer,,Stationery,UPS,,-47,-23.62
Wireless Mouse,2024,Q1,Jan,Sat,8,72.93,Belgium,0.26,Credit Card,11.02,Electronics,DHL,Paris,11,26.63
USB Cable,2022,Q3,Aug,Sat,23,6.83,Norway,0.36,paypall,27.9,Furniture,FedEx,Amsterdam,5,21.17
Headphones,2023,Q3,Sep,Thu,7,69.28,Norway,0.41,Credit Card,23.2,Electronics,UPS,Amsterdam,44,25.13
Headphones,2024,Q4,Oct,Tue,2,29.1,France,0.47,paypall,7.27,Apparel,Royal Mail,London,40,24.23
White Mug,2022,Q3,Aug,Sun,18,91.39,Spain,0.14,Bank Transfer,29.56,Accessories,FedEx,Rome,2,21.7
Headphones,2022,Q1,Mar,Sun,10,53.43,France,0.07,Bank Transfer,,Apparel,DHL,,-35,-22.43
Desk Lamp,2022,Q3,Aug,Mon,7,47.28,Spain,0.34,Credit Card,25.65,Stationery,FedEx,Amsterdam,14,29.95
Blue Pen,2021,Q2,May,Fri,13,85.35,Australia,0.43,Credit Card,5.55,Furniture,DHL,Rome,42,26.4
Wireless Mouse,2023,Q2,May,Thu,5,65.28,Sweden,0.13,Credit Card,,Furniture,DHL,,-14,-23.28
Desk Lamp,2022,Q2,Jun,Thu,5,-79.56,France,1.002310369,Bank Transfer,,Accessories,DHL,,-7,-22.69
White Mug,2020,Q4,Dec,Sun,13,46.23,Belgium,0.34,Bank Transfer,12.39,Stationery,DHL,Rome,48,22.13
White Mug,2023,Q3,Aug,Sun,13,2.86,France,0.01,paypall,9.16,Electronics,FedEx,Paris,17,30.8
Notebook,2024,Q4,Nov,Thu,10,37.31,United States,0.32,Credit Card,6.96,Apparel,UPS,Amsterdam,9,28.05
Wall Clock,2024,Q2,Apr,Mon,0,56.44,United Kingdom,0.41,Bank Transfer,10.31,Stationery,FedEx,Berlin,25,28.42
USB Cable,2022,Q4,Nov,Wed,17,39.98,Germany,0.37,Bank Transfer,,Accessories,FedEx,,-48,-34.64
White Mug,2021,Q1,Mar,Sat,16,-24.03,Australia,0.17,paypall,,Accessories,Royal Mail,,-43,-29.25
